from_idx,to_idx,from,to,distance,duration,dest_closeTime
3,1,"Korzenna 16a, 81-587 Gdynia, Poland","Witolda 39A, 81-531 Gdynia, Poland",2604.0,321.0,2021-11-27 16:00:00
3,2,"Korzenna 16a, 81-587 Gdynia, Poland","Wielkopolska 260, 81-531 Gdynia, Poland",1680.0,242.0,2021-11-27 16:00:00
3,4,"Korzenna 16a, 81-587 Gdynia, Poland","Wiczlińska 4, 81-578 Gdynia, Poland",1938.0,283.0,2021-11-27 16:00:00
3,5,"Korzenna 16a, 81-587 Gdynia, Poland","Starowiejska 40C, 81-363 Gdynia, Poland",7812.0,813.0,2021-11-27 16:00:00
3,6,"Korzenna 16a, 81-587 Gdynia, Poland","10 Lutego 7, 81-366 Gdynia, Poland",7525.0,790.0,2021-11-27 16:00:00
3,7,"Korzenna 16a, 81-587 Gdynia, Poland","Antoniego Abrahama 46 A-B, 81-395 Gdynia, Poland",7113.0,730.0,2021-11-27 16:00:00
3,9,"Korzenna 16a, 81-587 Gdynia, Poland","Świętojańska 75, 81-389 Gdynia, Poland",6968.0,723.0,2021-11-27 16:00:00
3,10,"Korzenna 16a, 81-587 Gdynia, Poland","Ignacego Krasickiego 45, 81-377 Gdynia, Poland",7048.0,784.0,2021-11-27 16:00:00
3,11,"Korzenna 16a, 81-587 Gdynia, Poland","Augustyna Necla 5, 81-377 Gdynia, Poland",7124.0,830.0,2021-11-27 16:00:00
3,12,"Korzenna 16a, 81-587 Gdynia, Poland","Batalionów Chłopskich 24, 81-415 Gdynia, Poland",5344.0,619.0,2021-11-27 16:00:00
3,13,"Korzenna 16a, 81-587 Gdynia, Poland","Łużycka 3, 81-537 Gdynia, Poland",4966.0,572.0,2021-11-27 16:00:00
3,14,"Korzenna 16a, 81-587 Gdynia, Poland","Łużycka 3A, 81-472 Gdynia, Poland",5155.0,592.0,2021-11-27 16:00:00
3,15,"Korzenna 16a, 81-587 Gdynia, Poland","plac Górnośląski 4a, 81-509 Gdynia, Poland",3105.0,351.0,2021-11-27 16:00:00
3,16,"Korzenna 16a, 81-587 Gdynia, Poland","aleja Zwycięstwa 238, 81-525 Gdynia, Poland",4444.0,497.0,2021-11-27 16:00:00
3,17,"Korzenna 16a, 81-587 Gdynia, Poland","Aleja Niepodległości 899, Sopot, Poland",6267.0,669.0,2021-11-27 17:00:00
3,18,"Korzenna 16a, 81-587 Gdynia, Poland","Aleja Niepodległości 938, 81-855 Sopot, Poland",6724.0,724.0,2021-11-27 16:00:00
3,19,"Korzenna 16a, 81-587 Gdynia, Poland","Jana Jerzego Haffnera 59, 81-715 Sopot, Poland",6686.0,697.0,2021-11-27 16:00:00
3,21,"Korzenna 16a, 81-587 Gdynia, Poland","Jana Jerzego Haffnera 42, 81-707 Sopot, Poland",7090.0,770.0,2021-11-27 16:00:00
3,22,"Korzenna 16a, 81-587 Gdynia, Poland","Michała Drzymały 9, 81-771 Sopot, Poland",8270.0,1073.0,2021-11-27 16:00:00
3,23,"Korzenna 16a, 81-587 Gdynia, Poland","Księcia Józefa Poniatowskiego 2, 81-724 Sopot, Poland",8016.0,955.0,2021-11-27 16:00:00
3,24,"Korzenna 16a, 81-587 Gdynia, Poland","Bitwy pod Płowcami 54, 81-731 Sopot, Poland",8374.0,952.0,2021-11-27 16:00:00
3,25,"Korzenna 16a, 81-587 Gdynia, Poland","Tadeusza Kościuszki 27, 80-445 Gdańsk, Poland",14112.0,1498.0,2021-11-27 16:00:00
3,26,"Korzenna 16a, 81-587 Gdynia, Poland","Jana Kilińskiego 9, 80-452 Gdańsk, Poland",14239.0,1545.0,2021-11-27 16:00:00
3,27,"Korzenna 16a, 81-587 Gdynia, Poland","Danusi 4C, 80-434 Gdańsk, Poland",15235.0,1616.0,2021-11-27 16:00:00
3,28,"Korzenna 16a, 81-587 Gdynia, Poland","Stanisława Wyspiańskiego 20, 80-434 Gdańsk, Poland",15065.0,1578.0,2021-11-27 16:00:00
3,29,"Korzenna 16a, 81-587 Gdynia, Poland","aleja Grunwaldzka 49, 80-241 Gdańsk, Poland",14873.0,1579.0,2021-11-27 16:00:00
3,30,"Korzenna 16a, 81-587 Gdynia, Poland","aleja Grunwaldzka 56, 80-241 Gdańsk, Poland",14418.0,1468.0,2021-11-27 16:00:00
3,31,"Korzenna 16a, 81-587 Gdynia, Poland","aleja Grunwaldzka 12, 80-236 Gdańsk, Poland",14893.0,1520.0,2021-11-27 18:00:00
3,32,"Korzenna 16a, 81-587 Gdynia, Poland","Budynek Działu Gospodarczego Wirtualna Polska, Traugutta 115c, 80-226 Gdańsk, Poland",15481.0,1670.0,2021-11-27 16:00:00
3,33,"Korzenna 16a, 81-587 Gdynia, Poland","Do Studzienki 65, 80-227 Gdańsk, Poland",15525.0,1663.0,2021-11-27 16:00:00
3,34,"Korzenna 16a, 81-587 Gdynia, Poland","Beethovena 24, 80-171 Gdańsk, Poland",26897.0,1691.0,2021-11-27 17:00:00
3,35,"Korzenna 16a, 81-587 Gdynia, Poland","Kartuska 187, 80-122 Gdańsk, Poland",25095.0,1495.0,2021-11-27 16:00:00
3,36,"Korzenna 16a, 81-587 Gdynia, Poland","Jacka Malczewskiego 103, 80-112 Gdańsk, Poland",26369.0,1689.0,2021-11-27 16:00:00
3,37,"Korzenna 16a, 81-587 Gdynia, Poland","Stoczniowców 35, 80-812 Gdańsk, Poland",26215.0,1591.0,2021-11-27 16:00:00
